"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"BA_Harrison","18 September 2016","Train To Busan can be summed up in four words: zombies on a train. But what director Sang-ho Yeon does with this simple premise is extremely impressive, giving the somewhat tired zombie genre another jolt of life.Using his confined location-a packed intercity train-to maximum effect, Yeon expertly ramps up the tension, the living gradually whittled down to a handful of passengers fighting for survival against the slavering undead (a bit like taking the last train home from Waterloo on a Saturday night).There are some great ideas present that really add to the excitement, such as the zombies getting confused whenever the train enters a tunnel and swarming in numbers to break through barriers (with special effects easily on a par with those in World War Z). Surprisingly, the gore quotient is very low, but with such a rollicking pace, the lack of blood really isn't an issue.Perhaps a touch too long at almost two hours to be perfect, Train to Busan is nevertheless one of the better zombie films to come out in recent years. Highly recommended. 8.5/10, rounded up to 9 for IMDb.","
            9/10
            "
"3xHCCH","5 September 2016","This new Korean film ""Train to Busan"" is certainly earning a lot of positive word of mouth and box office success since its debut in the Midnight Screenings section of this year's Cannes Film Festival.The central character is Seok-woo, a man stressed out with problems about his investments business and his divorce. His 9-year old daughter Su-an, feeling neglected, requests her father to bring her to Busan the next day to see her estranged mother. Seok-woo could not say no.On the same train to Busan as Seok-woo and Su-an, a lady passenger with a bite wound on her legs, collapses and turns into a zombie. As she bites another person, that next person would also turn into a zombie and so on. Panic ensues on the train, and as everyone eventually discover along the way that the same zombie frenzy was true for the rest of the country. The fight to survive is now on.This film was one exhilarating roller-coaster ride from beginning to end. The zombies and their attack scenes were very well-executed with a combination of practical and computer-generated effects. These monsters were very fast-moving and relentless in their quest for human flesh. We hear people around us gasp and shriek with shock as we see these zombies pile up in droves and hordes, crash out of windows and barrel through doors. We breathlessly hang on to the edge of our seats the whole ride.Of course, what Korean film does not have a good dose of melodrama? The father-daughter dynamic between Seok-woo and Su-an is front and center. But aside from them, we also meet a cast of supporting characters on the train whose fates we will be following for the rest of the film. These include a burly man with his pregnant wife, a teenager with his girlfriend and his baseball team, a haughty businessman, two elderly sisters and a homeless man, among others. We get just enough introduction about who they are for us to care about what happens to them.Gong Woo played the flawed lead character Seok-woo very well. He was able to convincingly portray the development of this uncaring apathetic guy into a hero we could all root for to get through this crisis alive. He was as good in the weepy dramatic scenes as he was in the swashbuckling action scenes. This actor has come a long way since his breakout role as lead star of the TV romantic comedy series ""The Coffee Prince"" back in 2007.Kim Su-an is only 10 years old but she had already been acting in films for five years now. She is the dramatic core of this film as the daughter desperately reaching out to her jaded father. As a child actress, she held her own impressively among this cast of veterans with her heartfelt portrayal. Who would have thought that the sad little song she wanted to sing for her father would resonate so much?Ma Dong-seok is charismatic as Sang-hwa, a devoted husband and selfless fighter. We see him first as some sort of comic relief only, which made the audience warm up to him. Later, we would discover how much more his character was able to do and give for others, and loved him more. His pregnant wife Seong-kyeong was played by acclaimed Korean indie film actress Jung Yu-mi, conveying strength in her delicate condition.Another actor of note is Kim Eui-sung, who was totally hateful in his role as the selfish Yong-suk. In total contrast to Sang-hwa, Yong- suk was a man only thought of himself alone, not caring that he actually put a lot of other characters directly into harm's way.Ahn So-hee (as Jin-hee) and Choi Woo-shik (as Young-guk) were in there to inject some teenage romantic angst into the film. They were relatively lightweight performers who were probably included just because they looked cool. That scene when Young-guk encounters his baseball teammates-turned-zombies was very well-conceived by the writers.People may dismiss as ""just"" being a zombie film, but it is the drama of human relationships and interactions that rises above the horrific and thrilling carnage. Director Yeon Sang-ho's first two feature- length films (""The King of Pigs"" and ""The Fake"") were both animated films exploring the bleak side of human nature. With his first live action directorial effort, Yeon has created a complete film masterpiece with ""Train to Busan."" Highly recommended! 10/10.","
            10/10
            "
"ThomDerd","14 July 2020","Forget about the ordinary and immerse yourself into this amazing zombie thriller experience. If you love thrillers and zombie flicks, then you are in for a ride with this one.
This film has it all: the hero arc, character development, insane action, relentless tension, drama, tear jerk, comedy, special effects, great cinematography and most of all excellent pace!
Well done to the Korean cinema. Excellent film. 9/10","
            9/10
            "
"Troy_Campbell","12 August 2016","This lively South Korean zombie flick arrives in Oz with a limited release, which is a pity as it's a riotous adventure filled to the brim with action, gore and damn interesting story beats. Like all good films within this subgenre, the narrative is rife with metaphors about modern day issues (parent-child connections, corporate greed, human interaction, etc) but it also provides a compelling survival plot when taken at face value. The core relationship between Yoo Gong's self-centred businessman and his quiet, emotionally-neglected 9-year-old daughter (Soo-an Kim – a tour de force) is riveting as it gets put through the wringer, never feeling anything less than authentic. There are spurts of melodrama, however, that induce the odd unintentional chuckle, whilst a select few from the supporting cast play up their stereotypes – love-struck school girl, despicable scaremonger, muttering homeless man – a little too much. Sang-ho Yeon directs with unabashed gusto, pumping up tension and thrills though a string of adrenaline-pumping set pieces, an amazing train-station sequence that turns from hopeful to deadly being a particular high point. The undead are suitably grotesque and enjoyably expendable, their physical movements a mix between the 28 Days Later mode of rapid flesh-eaters and the herky-jerky twitches of J-horror ghosts, although the rules for how quickly someone becomes ""infected"" seems to vary depending on plot requirement. It doesn't necessarily bring anything new to the zombie genre, but with a bunch of exhilarating set pieces and a willingness to kill off anyone at anytime, Train to Busan certainly adds a whole lot of spark.","
            8/10
            "
"claudio_carvalho","14 September 2016","The investment manager Seok Woo (Yoo Gong) is a divorced man that lives in Seoul, with his daughter a Soo-an (Soo-an Kim) and his mother. Seok Woo is a selfish man and neglects Soo-an that misses her mother that lives in Busan. On Soo-an's birthday, she asks to visit her mother and Seok Woo travels with her with the intention of returning after lunch. They board the fast train KTX and a sick woman also boards another wagon. During the journey, the woman attacks a train staff and soon all the passenger in the wagon are attacked turning into zombies. Soon Seok Woo realizes that there is a zombie outbreak in South Korea and together with the passenger Sang Hwa (Dong-seok Ma), who is traveling with his pregnant wife Sung Gyeong (Yu-mi Jeong), they isolate the safe front wagons from the infected ones. Along their journey, the non-infected passengers have to fight the zombies and the selfishness of the human being. ""Busanhaeng"", a.k.a. ""Train to Busan"", is one of the best zombie films ever made. The story is original and there is deep character development, which is not usual in horror movies, showing the different behavior of the human being in a stressful situation depending on his or her character (or lack of). The direction is amazing and the action scenes are fantastic. The screenplay is melodramatic but also attractive; the beautiful cinematography and special effects and make-up are highlighted by perfect edition. The cast has good performance but the girl Soo-an Kim is impressive and steals the show. We hope Hollywood industry does not destroy this little gem with the usual remake. My vote is eight.Title (Brazil): Not Available","
            8/10
            "
"ctowyi","4 August 2016","This is one fantastic train ride. I love the creative ideas and the economical character setups. No need for too much heavy top-down moralization. This is a straight-up disaster flick with zombies coming in swarms from all directions. So we already know the archetypal characters - the coward, the brave one, the pregnant one, the youth in love, the heroic one and so on. The fun is in seeing which one will die first and who will live. This train is loaded with some colorful characters. Putting 80% of the action on a bullet train didn't constraint the wealth of inventive ideas one bit as the commuters escape the crazy zombies from car to car. The momentum is terrific and I kept marveling at all creative problem-solving; some I have never seen before. The character arc of the main actor from narcissistic anti-hero to titular hero is very potent and what injects the narrative with much forward power. Love the subtext of class and government hypocrisy, class division, vileness of human nature and the dreaded herd mentality. Ya ya ya, I know the movie never delves too deep into them. Because that would rob the movie of its relentless momentum. I think Paul Greengrass who made Jason Bourne needs to study the cinematography here. You don't need to do split-second cuts and shake the camera to make the audience feel in-the-moment. The action set-pieces are so well choreographed that I understand and see everything. Straits Times (my local papers) said the last act is disappointing with the train derailing, crashing into some cliché-obstacles and careening through melodramatic territory. Hello? This is Korean cinema - melodrama is expected and in this case welcomed with open arms. IMHO the first two acts are so explosively fun and rollicking thrilling that it practically earned its melodramatic ending. Heck! I was nearly tearing up. This is one of the most entertaining and unpretentious zombie movies I have seen in a while. This is one train you need to board.","
            8/10
            "
"Platypuschow","24 October 2017","There are rare events in our world, solar eclipses, tsunami's, the UK chart having a decent song at no.1. Another is me giving a film 10/10, it simply doesn't happen.Me and Korean cinema have always had a good relationship, I tend to enjoy their works and this right here is their coup de grace.Essentially a sequel to Seoul Station (2016) which was an acclaimed feature length zombie anime, Train To Busan tells the story of the passengers of a train from Seoul to Busan as the outbreak begins.Full of fantastic characters, great writing and several scenes that need to be seen to be believed Train To Busan shows how fresh the zombie sub genre can be in the right hands.The film looks incredible and flows perfectly all the way from the first victim to the incredible memorable finale.Train To Busan is nothing short of a masterpiece that I would recommend to everyone not just fans of the genre.I would love to see a sequel as this was near perfection.The Good:Brilliant characters/character developmentLooks outstandingHighly originalAction packedEmotionally charged and thought provokingThe Bad:Can't think of a thing","
            10/10
            "
"gregsrants","16 October 2016","No genre has suffered from volume overload as the zombie genre. Zombie television shows, zombie movies both theatrical and straight to video, city zombie walks.zombies are everywhere. Because of the glut of flesh eating walking dead, no genre has suffered so much with overkill. Zombies themselves are not particularly interesting beasts. They don't have any character. They just run (or slow walk) bite and run (or slow walk) again. You won't find many reviews on the thousands of zombie films that will go into detail about the complex layers of the zombie's inner mind.With what seems like an endless parade of zombie films each week being offered across various platforms it's a nice surprise when a film such as Train to Busan offers what feels like a fresh take on an exhausted premise.Train to Busan is a South Korean zombie film brought to us from writer/director Sang-ho Yeon. The idea is commonplace - a zombie apocalypse is underway - but the setting adds to the drama. The movie takes place almost exclusively on a train where the passengers are stuck in in a speeding bullet. And when an infected individual boards the train, the group's only safety will be in the various train cars free of the blood hungry hordes.The group of characters that face life and death to zombie situations are an eclectic band of heroes and villains including a father and daughter team, a pregnant woman and her husband, a young teenage baseball team and various train attendants. Their survival is hanging on the notion that if the train full of zombies can reach the Busan station where the military is lying in wait.Although there are plenty of been there/seen that moments in Train to Busan, the film still offers a fresh feel largely due to the claustrophobic setting. There are some fresh ideas - such as what happens to the zombies when the train enters into a tunnel - and these ideas coupled with zombies that run like Olympic qualifiers and above average special effects lead to a heart pounding rollicking good time.One could not fully review Train to Busan without discussing the ending. Starting with an unexpected train crash the final few reels are filled with one surprise after another. And the ending is almost heart-wrenching in its execution.Train to Busan is a thrill ride. A thrill ride that was a rousing crowd pleaser when it screened at the Toronto After Dark Film Festival. But it is more than just a genre festival favorite. It is one of best zombie films every produced and might just be one of the best movies of any genre in 2016.","
            8/10
            "
"subxerogravity","31 July 2016","We're leaving (leaving) on that Zombie Train to Busan (leaving on the undead train).Use to seeing Korean horror films about ghost, but Zombies!? This was refreshing.So this neglectful dad tries to make amends with his daughter by riding with her on the train (which she wanted to go by herself) to take her back to his ex-wife. Lucky for both of them as a zombie outbreak happens while their on the train. Now, their only hope for survival is to make it to the Busan stop.You really can't go wrong with a Zombie movie. It's rare that I've have seen one that I did not like. Train to Busan is definitely a good one too. Its filled with interesting characters. Other than the father daughter team, the train is also occupied by a pregnant women and her Macho and humorous husband, a school girl and her baseball playing boyfriend and some homeless wonderer who saw the outbreak first hand, just to name a few. The social commentary speaks on what you are made of as an individual and as a society with the best and the worse coming out of everyone during this crisis.I loved how relentless and aggressive the Zombies were. More like 28 days later than Romero. The special effects do get a little cartoony with zombies that seem to come form nowhere piling over one another like poring cereal into a bowl or something, but it does give you that man, these guys are screwed feel. Train to Busan focus on the idea that the walking dead sense you through sight and sound. If they can not see you or hear you they have no way of knowing your living flesh is a foot away from their hunger. It made for some cleaver obstacles when a group of passengers have to maneuver through train cars filled with zombie passengers (Sounds like the next game in the Resident Evil franchise).Also found it interesting that no zombies were shot in this picture. I don't know how Korean gun control laws work, but I can assume it's strict enough that the story would make no sense if someone on the train just happen to have one for zombie killing (unlike an American movie in which the unborn child having a gun would be fine so long as it moved along the story). Definitely a rarity in a Zombie picture and it worked.It's Action packed, it's humorless, with incredible looking zombies and a cast of characters so lively you give a crap what happens to them in the end. http://cinemagardens.com/","
            7/10
            "
"mpaulso","1 August 2017","Train to Busan was a treat. A look into Selfishness vs Selflessness and Individual vs The Collective.I can't remember the last time I enjoyed a foreign film this much. The cinematography is excellent, the story is original, and I will definitely be keeping an eye on Sang-ho Yeon's future projects.","
            8/10
            "
