"Movie_Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Avatar","gogoschka-1","24 May 2020","I'm not exactly sure when it became a thing among my tribe of film geeks to bash 'Avatar'. I know it wasn't when it came out, because most of the film fans in my circle of nerdy friends went to watch it multiple times and couldn't get enough of it. In hindsight, I suspect it was around the time when everybody and their grandmother seemed to have seen it; somehow, once the film had become the most successful movie ever (unadjusted for inflation) it stopped being cool to like James Cameron's eco-sci-fi extravaganza.Nowadays the film is often brought up in snarky movie blogs as a typical example for a film with great effects but a dull story, unoriginal ideas and bland characters, as if this were somehow the general consensus among film aficionados. ""FernGully in space"" or ""Dances With Wolves with blue cat-people"" are some of the kinder descriptions the film has to endure - which in all honesty I don't get.I mean, it's fine not to like the movie (all art is subjective and all that), but how so many self-professed film experts now pretend this critically acclaimed picture - which on Metacritic is rated even higher than 'The Dark Knight' - was nothing but a bland, unoriginal, run-of-the-mill Hollywood blockbuster that only succeeded thanks to the (then) novelty of 3D is frankly beyond me.What I find even more astounding is how the very people who decry the lack of original, director-driven blockbusters in Hollywood are often the same who turn up their noses at 'Avatar': an original, director-driven blockbuster that came out when most other big budget movies were either sequels or adaptations of already existing intellectual properties. ""The ideas in the film are not original"", they claim. Come on guys, seriously?So you've seen a world like Pandora before? A bioluminescent visual wonder that merges the colorful marine life of coral reefs with the lush vegetation of tropical rain forests? A world where nature forms an actual neural network that stores memories and builds a collective consciousness? You've seen many films about a bio-database that people can plug themselves into via ancient trees and communicate with their ancestors?You've watched countless blockbusters that take place in an eco-system where you can form instant symbiosis with other creatures depending on your needs? And by the way: how many ""eco-sci-fi"" films have you seen? Such a worn-out concept and tired old sub-genre, right?No my friends, in terms of Hollywood blockbusters, these ideas and concepts are about as original as they come, and some of them are even inspired by actual biological phenomenons (like the discovery that the roots of trees do indeed form a sort of neural network in a symbiosis with fungi where they are able to store and exchange information). But what is true is that the filmmaker cleverly chose a very straight-forward story to get his environmentalist plea and anti-colonial, anti-imperialist message across and make some rather complex sci-fi ideas more accessible for a broad audience.To that end, the film uses certain well-known story tropes (""the spy who changes sides once he falls in love with an enemy""; ""the soldier who realizes he's been fighting for the wrong cause""; ""the invader who gets to know and appreciate the foreign culture he's invading"" or the timeless trope of ""the fish out of water""), but they are not what the film is about. And those tropes are not copied from 'Dances With Wolves' either - any more than that film stole them from 'Pocahontas': they are so universal you can find variations of any one of them in numerous legends and stories and thus also throughout film history, from 'Lawrence of Arabia' to 'Shogun' or 'The Last Samurai' and countless others.And yes, our heroes Jake and Neytiri are not the most complex of characters (though neither are they as bland as the film's most vicious detractors claim), but that's because they aren't really the film's main focus. 'Avatar's actual protagonist, its true star if you will, is Pandora. It's the WORLD we get to experience through Jake's eyes that really matters here, and the film aims straight for your gut - not your sci-fi nerd brain (which I suspect is the actual reason why so many former Cameron fans - now - claim to be disappointed with the film).More than anything, 'Avatar' wants you to lose your heart to this beautiful planet that functions as an obvious stand-in for our own threatened world, and the film is an unapologetic, uncynical declaration of love to the wonders of nature - as well as a call to action to preserve them. Which on an emotional level works marvelously: nothing in the film is as painful and shocking as the destruction of a single big tree, which symbolizes quite literally nature as the home and shelter we depend upon. It's a genius scene, and I dare you to find an action blockbuster where the distruction of a city or a whole planet carries even a shred of the emotional heft that the falling of ""Home Tree"" does in Cameron's film.So again (I'm trying to hammer my point home here ;-), 'Avatar' is simple? Yes, but that's the point: the simplicity and familiarity of the story are deliberate; the themes are not just derivative re-treads, they're as universal as those in myths and fairy tales and thus speak to everyone. And that's exactly what Cameron's intention was: to use simple enough tropes and archetypes to convey a heart-felt message that would work across cultural borders and reach people all over the world. Which, given the film's success, it obviously did.Personally, I think 'Avatar' is a prime example of visual and emotional storytelling done right, and viewing it for the first time offers an experience that is almost without equal in its immersiveness. And while this may only have been my own individual experience, 'Avatar' was also the first movie in a long time that completely vowed me in the sense that I felt like a little kid again in the theater - which had very little to do with the novelty of 3D. It was also the last time a film managed to do that.And even in terms of pure entertainment the film is simply spectacular. It's a rousing adventure with gorgeous visuals and top-notch CGI, filled with fascinating creatures and jaw-dropping future-tech, and the final 40 minutes of the film provide an all out, non-stop sci-fi action thrill-ride on a scale the world had rarely - if ever - seen before.Obviously that doesn't mean it's a perfect film, and as I already pointed out, it's fair not to like it for any number of reasons (above all: personal taste), but 'Avatar' is far from deserving the kind of snark and ridicule it gets these days. Get over it people: simple doesn't equal simplistic, and the fact that 'Avatar' is neither subtle nor cynical doesn't make it dumb (even if it does make it harder for some of us nerds to like it wihtout feeling slightly embarassed ;-).In all honesty, I believe if this had been a slightly more obscure film - instead of the most successful movie of all time - many of the same people who hate on it now would hail it as an epic sci-fi adventure classic for the ages. And as far as I'm concerned, that's exactly what 'Avatar' is: a modern classic by a visionary filmmaker and true auteur. Rant over.","
            10/10
            "
"Avatar","eldreddsouza","23 September 2022","I was waiting for this day for the longest time. I was a kid back in 2009 when this movie released. So never got to watch it back then. But now when it rereleased I booked the first day show to a IMAX show and oh boy was I blown away! This is nothing short of a masterpiece! It's beyond belief how a film like this could've been made. Every scene, every shot is perfection. You are transferred to a different world and become so engrossed in the film. Never have I attended a movie where at the end of it people got up from their seats and started clapping! Last time this happened was after Infinity War. That movie too was a damn brilliant one. I'm from India and this is legit rare, where people go crazy, so crazy after any English film. This was one experience that I will never forget. I'm definitely going for it again next weekend cuz just once was not enough.Every human on the planet needs to experience this magnificent work of art!","
            9/10
            "
"Avatar","Samiam3","12 December 2009","Nobody directs like James Cameron. Ten years in the works, and every minute was worth it. It is the Star Wars of the 21st century. Though the plot is derivative and bears some pretty close resemblance to Dances with Wolves and a little bit of The Last Samurai, it does not ruin a mind-blowing experience. Avatar has a great future ahead of it and, possibly another Oscar for the mighty James Cameron. Jake Sully, is an ex-marine, bound to a wheel chair. He seeks to make a fresh start on the moon Pandora where his brother worked. The moon has a military run mining colony. The business has brought humans into contact with the local natives, tall blue dudes, called Na'vi. The Na'vi inhabit a part of the moon under which lies a large deposit of valuable minerals, and the humans are trying to get them to relocate. Colonel Quarich who runs the operation, ask Sully to go under cover as a Na'vi, to learn the secrets, to give the humans an advantage. If successful, Sully will get his legs back. The magic of future science and 3-D effects give Sully a handsome genetically engineered Avatar body, and he embarks on his mission. Once on the inside however, his loyalties to the humans start to turn when his heart gets lost to the Na'vi princess Neytiri. Is he willing to fight on the blue side now?The landscape of Pandora is the most creative and inventive of the decade. There are creatures that you might find in your wildest dreams or your worst nightmares. There is flora and fauna that shine with the bioluminescence of a thousand deep sea critters, and also trees which dwarf the Empire State Building.I guess the only noticeable problem with Avatar, is a lack of original story. What you see on the screen will blow you away, but all the tough critics, may come down a bit on the fact that despite being the latest in film technology, Cameron uses a very old archetypal formula, perhaps just a bit too schematic. There are a few badly scripted segments of dialogue, but nothing that makes you wanna blow raspberries at the screen.What is most important is the fact that Cameron's story gets the viewer involved and offers a handful of memorable and likable characters to root for, and some to root against. This is the post- modern era, and originality is rare, but if there is any technical progress to be made in the world of movies and entertainment, there is one name that dwarfs all JAMES CAMERON, and after ten years hiding from the Hollywood mainstream, he is back.","
            8/10
            "
"Avatar","ClaytonDavis","14 December 2009","Forgive me, I'm going to jump from professional to fan boy for a while here. I haven't had the jitters after a film the way I've had for Avatar in quite sometime. James Cameron's Avatar is the most entertaining and enthralling cinematic experiences of my life. It is incredible, simply put. What Cameron has done here is the most passionate film project put out since Steven Spielberg released Schindler's List. His attention to detail and his zeal for pushing the envelope is so admirable to any filmmaker or actor who will ever do another film from this point on.Avatar is the story of Jake Sully, a paraplegic marine, who replaces his brother on a secret mission to infiltrate the Na' vi, the colony of beings that sit on the planet of Pandora, where there is a precious ore, that sells at a ridiculous amount. When Jake learns the ways of the Na' vi, his feelings and learnings will put him and the people he trusts in dangerous jeopardy.The performances here, in the sense of reacting, becoming, and understanding what Cameron has written are astounding. Not to be confused with a sensational bravura performance from some of the centuries best such as Marion Brando, Tom Hanks, or Diane Keaton; these actors along with the director inhabit these visual transformations with special effects as if they are have lived these beings all their lives. This is all based on character movements and reactions. Sam Worthington, as Jake Sully, is an actor who's on his way to becoming a star. Though he has problems with his Aussie accent often enough in the film, he gets the job done. Zoe Saldana, who plays Neytiri, a Na' vi huntress, is thrilling and electrifying. Stephen Lang, as the rock hard Colonel Miles, takes on a villainous turn to a new level in science fiction. He offers actual emotion and emotes evil to the audience and gains our hatred easily. Sigourney Weaver as the beautiful Dr. Grace, is sufficient enough to have on screen again teamed with Cameron. She lives inside her role with effortless ease, but suffers from some of the typical James Cameron cheesy lines.Narratively the film works perfectly on the cinematic level. The first forty minutes or so require patience and hope as it is the weakest part of the film and offers some dreariness, but when the second act takes off, it's sky high with no limits for James Cameron. Avatar delivers the best action sequences put on film of all time. That is the boldest statement I have ever made in all my years of criticism. I sat on this for two days before charging it out, but I mean it. It is the best visual experience of my life, period.Other than those visuals, the film pops with all the other technical aspects thrown into one. Art Direction is killer as the two worlds blend in perfectly for an acceptable time. The Film Editing is the crowning achievement of the film as it also offers the perfect blend of the two worlds, enticing the viewer and shifting us around. Mauro Fiore is the threat for a Cinematography Oscar this year. It was if the viewer sat down in a chair, put on glasses, and was literally placed on Pandora, spaceships, and floating mountains. The viewer can feel so engulfed by the imagery, you feel like you can smell the leaves from the trees. Avatar is utterly hypnotizing. James Horner's score is some of the best work done in his career. It offers a variable of devastation that moves the viewer to near tears. It goes back to his work on Titanic, where the musical instruments lifted the material immensely. The entire sound team is also locked and loaded for Oscar recognition as the feeling of animals, machines, and arrows buzzing by your head leave you imprisoned in Cameron's exquisite film.James Cameron has come back home ladies and gentlemen Cameron is back, bigger, badder, and mature in his crowning work of his career. Terminator 2: Judgment Day and Titanic do not even compare anymore. This is the film that can blend the fans of those two films together and lock Cameron into your heart. He's a definite spoiler for a directing bid for the Academy Awards. You have admire the raw, natural talent the man has. How could you ever conceive such an experience and put that much effort and work into it and have it pay off? The box office success will surely keep him in the minds of voters for various critics' awards. His screenplay, leaps and bounds better than 1997's Best Picture Winner, is primed, developed and ripe for the taking. Though, you do acquire the tacky and atypical dialogue you expect from a science fiction director of this caliber, you can appreciate the effort and the honesty of it all. James Cameron is everything Michael Bay wishes he was, to put it bluntly.Avatar will bring also great actors putting their best foot forward such as Giovanni Ribisi, who is as underrated as they come. Michelle Rodriguez who exudes sexy like any woman starring in a sci-fi epic. Joel Moore, showing his range outside of his comedic work in Dodgeball: An Underdog Story. And the classy veteran actors, CCH Pounder and Wes Studi, who just simply don't work enough.Avatar is one of the best films of the year. The most exciting, thrilling, and superb work you'll feast your eyes on in any theater this century. Cinema, forever, will remember the benchmark that James Cameron placed not only for himself, but for any man, daring to change the game, the way Cameron did. Avatar is a movie experience to be remembered, and please experience in a movie theater first.***½/****","
            6/10
            "
"Avatar","bob the moo","1 March 2010","Although I was not too bothered about seeing Avatar as a film, I felt it was a bit foolish to let this milestone of cinema go past me – particularly when the thing it is hyped for are the effects and being the first ""big"" film to utilise 3D technology to this degree. It just seemed that watching it on my TV in about 9 months on DVD with a basic stereo system would be missing the point. Unsurprisingly I was right because Avatar is technically a brilliant film that deserves to sweep the Oscars in terms of awards for visual effects and other such categories.If we ignore the 3D for a minute, the actual effects look great and I imagine that it will still be impressive in 2D. The landscapes and world of Pandora are imaginative (ironic since how dumb the name of it is) and very vividly created to the point where you forget that they are effects when you step back from them. Likewise it is so easy to forget that the Na'vi are not actors in quite brilliant outfits and makeup because they look so real and move so naturally – it is a million miles from the films such as Spiderman or Indy 4 where you can see where the real person ends and the jumping/swinging special effect begin. There were points in the film where I found myself wondering how on earth they managed to get a particular shot and where the camera was, only for my brain to kick in a second later to remind me that what I'm seeing is entirely virtual. OK the fantastical visual aspects are clearly creations but I was startled by how accepting of it all was and, in 2D I thought that the effects were pretty seamless.In 3D it doesn't quite hit the same mark for me. The ""look it's in 3D"" shots are not as obvious as some of the other films (where stuff comes out of the screen for no reason) but it is still a little distracting when the 3D forces your focus or has stuff where it doesn't aid the scene. Of course the world of Pandora looks great with things moving around in front of you and the final battle sequences are great – the money is all there to be seen. Thing is, the reason I was able to think about ""how did they do that shot"" while watching the film is because the technical aspects of the film is really all there is to engage with. The plot is basic and obvious – others have talked at length about the rights and wrongs of a story where the white man comes to the aid of the indigenous people, so I'll not add to that debate. The problem for me is simpler than that, it is simply that the plot is weak and the script is just as weak. My girlfriend laughed out loud when the name of the mineral on Pandora was named as ""Unobtainium"" and there were plenty of things like this. The dialogue between the characters is full of needless plot exposition and thus doesn't ring true. Of course all this is helped by the action and the effects but the narrative and writing weaknesses are all I can think of when I have to listen to people tell me how Avatar is the best film ever.The cast manage to do solid jobs considering how easy it is for them to get lost in the effects (see the modern Star Wars films to see this happen). Worthington is stuck with some awful dialogue but he is a good presence even in his Avatar. Saldana's performance is good, again despite some of her expressions and dialogue. Weaver is ""so-so"", Moore is pointless, Ribisi is miscast in a character that is so clichéd that it needed a decent casting to make it be more than it was. I liked Lang a lot and his OTT badass character worked well. Rodriguez seems like she is there because someone important likes her and her character doesn't add a terrible lot. Voice work from Studi, Pounder and others is good.Overall Avatar deserves to be seen for its technical importance and how impressive it is but the degree of praise for it needs to be put in context by considering how it plays as more than just a special effects milestone. In these terms it is not as good due to a poor plot and script that hurts the actors more than the effects do by handing them some awful dialogue. That it works is testament to how impressive the effects are but there is not a terrible lot to gush about beyond these.","
            10/10
            "
"Avatar","TheLittleSongbird","6 August 2010","I did see Avatar for the first time a while ago, and didn't know what to make of it. To me it felt like a visual feast if little else. Re-watching it again, I found more strengths, but there are several weaknesses that prevent it from being a masterpiece.Starting with Avatar's strengths, it is absolutely mind-blowing visually. The cinematography, landscapes, scenery, colours, make-up and effects are outstanding and are by far and away Avatar's strongest asset. I also liked the score, it is certainly not the best score I have ever heard, but it had some very nice moments, while Cameron's direction is competent, the message admirable, and the finale well and truly explosive. I also loved the flying sequences, they were breathtaking.The acting in general is a mixed bag. Sam Worthington is a charismatic enough lead, while Zoe Saldana is strong and spirited. Stephen Lang is an enjoyable and over-the-top villain of the piece too, however Sigourney Weaver is somewhat so-so, doesn't help really her character isn't that interesting while Michelle Rodriguez and Joel Moore aren't given very much to do.What didn't work so well is that Avatar's story, with themes of love in a time of chaos and man alone in a hostile environment, is rather simplistic and predictable. I also felt it took a while to get going, and that the relationship between Jake and Neytiri was on the dull side. And is it me, or does this film drag at times, particularly towards the end? Now don't get me wrong, I liked the concept, it wasn't exactly original, as I often heard it described as ""Dances with Wolves in Space with rip-offs of Pocahontas and FernGully""- but I am not going to join those who say that- I have to admit regardless of its originality or lack of it the concept intrigued me. Then there is the dialogue, which is nothing special and never quite rings true. There are some amusing moments but a vast majority of the dialogue in the middle of the film never quite convinced or came across as cheesy. The characters also came across as rather clichéd, especially Giovanni Ribisi's, and the character development was lacking.So all in all, Avatar does have a lot of strengths, but a lot of weaknesses too. I will say I preferred it over The Hurt Locker, which to be honest left me cold, but I think I would be stretching it a bit if I said it was 5-star masterpiece. 6/10 Bethany Cox","
            6/10
            "
"Avatar","shaikhirshad-41223","23 September 2022","Hatts of to JAMES CAMERON for thinking and creating a vision like this. It takes a lotseof hardwork & research to build a whole new world. And there is a reason why this movie is still the no 1 movie in the world. I've never seen this kind of visuals in any other film. And this movie was made in 2009 that was an amazing achievement by the VFX creators & the director itself. You can easily get connected with the movie plot and the way the director has shown the Pandora world was just unbelievable. Cast of this film has done a fabulous job while performing so well and get into the character that not a single one will disappoint. Emotional scenes are so powerful that you feel the characters and their pain for what their suffering. Visual Effects makes this movie so powerful that every creature and big scenery scenes looks real. That's why it has re-released once again to feel the same experience. Don't miss this one on the big screen if you haven't seen it. It's a total new world experience. Can't wait for the PART 2....","
            4/10
            "
"Avatar","NoArrow","1 January 2010","""Avatar"" is not the next ""Star Wars"" or ""Lord of the Rings."" It might be the next ""Matrix,"" though. Or, perhaps more accurate, the next ""Matrix Revolutions."" It's technically groundbreaking craftmanship put to work on a story that was played out after ""Return of the King."" There are a lot of bad guys, a lot of good guys, and sooner or later they're all gonna meet on the battlefield. The little details are not-so-shockingly unimportant, since nothing could stop, change or even, really, comment on the unstoppable trajectory of this film's story.It's the future. An Evil Corporation is parked on distant planet Pandora, mining the planet of all its precious minerals. The native population, big blue humanoids called the ""Na'vi,"" aren't too happy about this. The corporation has hired scientists to create avatars of Na'vi bodies to be controlled by human brains, in order to communicate to the Na'vi that...they better move, lest be bulldozed by the evil Col. Qautrich (Stephen Lang).Jake Sully (Sam Worthington) is flown in to Pandora because his twin brother, who had an Avatar made specifically for him, is dead. The coincidence is an obvious plot device so that we can have a newcomer to Pandora to share in our amazement. Oh, and he's paralyzed, so running around in his new alien body is rather freeing for him.I don't feel as if I need to continue with the plot description. You know what'll happen. You've seen ""Dances with Wolves"" and ""The Last Samurai."" Heck, even ""Dead Man."" The Na'vi represent nature, the (all-American) corporation represents destructive technology. Quatrich has a Southern accent and says things like, ""we have to fight terror with terror."" The Na'vi are clones of Native Americans - filtered through the imagination of a white liberal. It's all very obvious.The question, of course, is whether or not it's entertaining. Well...sometimes. It certainly looks good. Some sequences - especially those with the winged beasts - are eye-popping. Lang makes a fun villain. Pandora is more derivative than original, it reminded me most of Skull Island in Peter Jackson's King Kong. All the monsters have a plastic-y look to them that make them feel too well-done. The 3D is distracting at times and I had a headache before the movie was over.But there are scenes and individual shots that pop with ethereal beauty. It's worth seeing for that reason, but I don't think it'll be as fun after multiple viewings. The great thing about ""Star Wars"" was the characters: Han Solo, Luke Skywalker, Princess Leia, R2-D2, Darth Vader, Obi-Wan Kenobi, Yoda and so on. They embodied the other-worldliness of the story, taking the weight off the effects.In thirty-two years, I don't think anyone will remember ""Jake Sully."" 6/10","
            5/10
            "
"Avatar","Theo Robertson","21 September 2012","I really did not like the way way this movie was advertised "" A film that will change the face of cinema etc etc etc "" . I'm one of those strange creatures who is actually turned off by hyperbolic markerteering . On top of that I'm not someone who's going to sit in a cinema wearing 3D glasses . It's bad enough being a speccy in real life . Who wants to add expensive insult to injury by sitting in a cinema looking like a muppet with shades ? In summary I had no intention of watching AVATAR in a cinema if at all In April I found myself on a very long plane trip from Heathrow to India and decided that because I'd seen most of what was on offer I decided to watch AVATAR . Being on a plane where the format is cropped and missing the 3D visuals means that you're able to concentrate on the story . The truth is that the plot is absolutely threadbare and is padded out with long sequences that might seduce an audience in to watching the visuals but plot wise there's nothing happening at allFault number one - there's very little happening to the plot for large chunks of the movie . Fault number two is that character wise everything is black and white . Good guys ( Read humans ) are blacker than the darkest night while good guys ( Read blue skinned aliens ) are so white they're brighter than the sun itself. It's almost like watching a simplistic revisionary Western where the Indians are the goodies and the calvary are the baddies . I say "" almost "" because Hollywood has never come up with a Western like that and never will . There is no complexity involved what so ever . The bad guys are bad guys and the good guys are good guys and there's no motives involved . Some people may complain that LORD OF THE RINGS also suffered from this characterization but at least the LOTR wasn't a 3D gimmick and had saving graces . Take away the 3D and you'll find AVATAR has no other function as a marketing tool . Also nice to know it was stuffed at the Oscars by the cheap and compelling tiny budget THE HURT LOCKER","
            9/10
            "
"Avatar","dfranzen70","29 December 2009","James Cameron's long-awaited Titanic follow-up is very pretty to look at but suffers from a flimsy plot and astoundingly stupid plot development. The characters are one dimensional, both as written and as portrayed, and there's hardly anything unpredictable. The only thing this movie has going for it are its state-of-the-art effects, which are truly boggling.Sam Worthington plays Jake, a paraplegic ex-Marine who's sent to a distant moon to help humans mine a mineral called unobtainium (in the running for the least creative chemical name ever). Seems there's a huge cache of the stuff under a huge tree in a jungle that's populated by an indigenous race called the Na'vi, blue-skinned, really tall people with feline characteristics. Meanwhile, a scientific program headed by Grace Augustine (played by a typically stiff Sigourney Weaver) has focused on learning as much as possible about the Na'vi in order to benefit scientific knowledge. Augustine's research (funded by the same company who's mining the unobtainium) involves the use of avatars, in which scientists form a psychological link with a mock-up that looks just like a native Na'Vi, the better for the humans to exist within the unbreathable atmosphere. Jake gets inside the Na'vi within his avatar and attempts to find out what they would want in exchange for moving from away from the giant store of unobtainium; during the course of his mission, he falls for the Na'vi chief's daughter, Neytiri (Zoe Saldana). (Of course he does.) And as said mission drags on, Jake's perspective changes from meathead jerk to tree-loving jerk, and he begins to wonder if what he's doing is right.Is he serious? You're an alien race (humans) and have no business on this moon. Your employer's stated goal is to gobble up all the jewels he can find, basically raping the planet. Your employer will stop at nothing to get it, as he answers to no one. You're being sent down to find a diplomatic way to screw the natives out of the bounty on which they sit. And he thinks this might be wrong? A power grab ensues when the military leader of the human expedition, a Colonel Quaritch (Stephen Lang) decides enough is enough and wants to bomb the hell out of the Na'vi, with the approval of the head of the company, Parker Selfridge (Giovanni Ribisi), another patently obvious name. This sets up the rather obvious showdown between the primitive Na'vi and the gung-ho ex-Marine humans, who have missiles and guns and ammo and rockets and helicopters and who knows, even a Star Destroyer or two. The final battle scene is overtly reminiscent of the Battle of Endor in Return of the Jedi, in which the primitive Ewoks manage to defeat a stormtrooper army using only their quick wits and some old-school, homemade traps of destruction.But even if the plot doesn't need to be complex, it sure ought to make sense. Here's a nonspoiler question to ponder. Jake, under the guise of his avatar, is taken in by the Na'vi, whose spiritual leader asks Neytiri to teach Jake their ways. Why this is to be is not terribly clear. It's evident that the humans have made several attempts at learning the ways of the Na'vi but that prior emissaries had been scientists; as soon as Jake tells the Na'vi that he's a warrior, they're all about teaching him. I don't quite follow the logic here; if I were the Na'vi and had not been able to teach the smart humans who obviously (to me) were not there to do me harm, why in the world would I want to teach someone who's used to using aggression and violence to solve problems? I get that the Na'vi, as a warrior race, would relate more to the soldier, but surely they would be reluctant to share knowledge with someone who was outside of their group anyway, let alone with one who might well do them harm.Moreover, I'm not sure what the Na'vi thought Jake was, really. He looked like them, through his avatar, but they referred to him at least once as an alien. My best guess is that they just thought he was from another clan. Other clan? I'll assume that only this one clan, the Omaticaya, made its home at Hometree (yet another clumsy naming convention) and therefore was the only clan with a stake in protecting it. But if they simply thought Jake was from another clan, why did they let him in anyway? Why did they teach him? What purpose would it serve them? And on top of that, since the Omaticaya mentioned being approached by ""aliens"" before, doesn't it seem more likely that they would have assumed Jake was another alien ambassador anyway? This makes my brain hurt.I think it's pretty obvious that Cameron wanted this to be his own Star Wars, an epic taking place on a distant world. He uses the standard Cameron recipe of astounding special effects and innovation coupled with a weak plot and laughable characters and hopes it all comes out okay (although for a movie that gestated for more than a decade, that's simplifying things a bit). The effects, it should be noted, are really mesmerizing visuals of the jaw-dropping variety. The 3D effects were unbelievable, and I mean that in a good way. Avatar is extraordinarily shot, using 60% CGI and 40% live action, and the two elements are flawlessly intertwined. It's a remarkable film.But it's only part of a film. the entire movie seems to try pretty hard to keep some emotional distance from its audience, and when a film is emotionally uninvolving, it's lost the battle for your heart.And that's the core problem. Despite some wonderful, beautiful effects, Avatar gives us characters in whom we can't really get invested, and when a key element of your story is an interspecies romance, this is a crucial, fatal flaw.","
            9/10
            "
