"","Brand_Description","Price","Review_Count","Rating"
"1"," Govee RGBIC Floor Lamp, LED Corner Lamp Works with Alexa, Smart Modern Floor Lamp with Music Sync and 16 Million DIY Colors, Color Changing Standing Floor Lamp for Bedroom Living Room Black  4.5 out of 5 stars 4,292  10K+ bought in past month$99.99$99.99$20.00 coupon applied at checkoutSave $20.00  with coupon  FREE delivery Wed, Feb 14 Or fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$94.99(3 used & new offers)Also available in Silver","99.","4,292","4.5 out of 5 stars"
"2"," Echo Glow - Multicolor smart lamp – Requires compatible Alexa device  4.5 out of 5 stars 47,260  9K+ bought in past monthLimited time deal   $19.99$19.99 List: $29.99$29.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$18.39(3 used & new offers)","19.","47,260","4.5 out of 5 stars"
"3"," Kasa Smart Light Switch HS200, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified, No Hub Required , White  4.6 out of 5 stars 38,909  8K+ bought in past month$13.99$13.99 List: $19.99$19.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$10.14(22 used & new offers)","13.","38,909","4.6 out of 5 stars"
"4"," TJOY 100ft Bluetooth LED Strip Lights, Music Sync LED Lights Strip, RGB Color Changing LED Lights with Remote,Smart Phone APP Control, LED Lights for Bedroom,TV,Room DIY (APP+Remote +Mic)  LED4.2 out of 5 stars 7,923  8K+ bought in past month$9.99$9.99 ($0.10$0.10/Foot) Typical: $12.99$12.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","9.","LED","4.2 out of 5 stars"
"5"," Kasa Smart Light Bulb KL110, LED Wi-Fi smart bulb works with Alexa and Google Home, A19 Dimmable, 2.4Ghz, No Hub Required, 800LM Soft White (2700K), 9W (60W Equivalent)  LED4.5 out of 5 stars 14,678  2K+ bought in past monthLimited time deal   $7.38$7.38 List: $16.99$16.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$6.38(11 used & new offers)","7.","LED","4.5 out of 5 stars"
"6"," Kasa Smart Dimmer Switch HS220, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified, No Hub Required, 1 Pack  4.6 out of 5 stars 23,995  5K+ bought in past month$17.85$17.85 List: $22.99$22.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$14.75(30 used & new offers)","17.","23,995","4.6 out of 5 stars"
"7"," Govee Smart LED Light Bars, Work with Alexa and Google Assistant, RGBICWW WiFi TV Backlights with Scene and Music Modes for Gaming, Pictures, PC, Room Decoration  4.6 out of 5 stars 4,368  4K+ bought in past month$49.99$49.9925% coupon applied at checkoutSave 25%  with coupon  FREE delivery Wed, Feb 14 Or fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$41.21(8 used & new offers)","49.","4,368","4.6 out of 5 stars"
"8"," Kasa Smart Light Switch HS200P3, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified, No Hub Required, 3 Count -Pack of 1 , White  4.7 out of 5 stars 23,838  5K+ bought in past month$34.99$34.99 ($11.66$11.66/Count) List: $44.99$44.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$32.01(10 used & new offers)","34.","23,838","4.7 out of 5 stars"
"9"," Govee Envisual TV LED Backlight with Camera, RGBIC Wi-Fi TV Backlights for 55-65 inch TVs, Works with Alexa & Google Assistant, App Control, Music Sync Lights, H6199  LED4.6 out of 5 stars 28,869  3K+ bought in past month$79.99$79.99 List: $89.99$89.99$20.00 coupon applied at checkoutSave $20.00  with coupon  FREE delivery Wed, Feb 14 Or fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. ","79.","LED","4.6 out of 5 stars"
"10"," Govee Floor Lamp, RGBIC Lyra Color Changing Corner Lamp, Modern LED Lights with Wi-Fi App Control, 64+ Scene, DIY Modes, Music Sync, Standing Lamp, Suitable for Bedroom  4.3 out of 5 stars 3,285  2K+ bought in past monthLimited time deal   $89.99$89.99 List: $149.99$149.99Save 10% on 2 select item(s) FREE delivery Wed, Feb 14 Or fastest delivery Tue, Feb 13 Works with Alexa  Works with AlexaThis product is certified by Amazon to work with Alexa. This product can be controlled with your voice through Alexa-enabled devices such as Amazon Echo and Amazon Tap. More Buying Choices$82.79(3 used & new offers)Price may vary by color","89.","3,285","4.3 out of 5 stars"
