"","Brand_Description","Price","Review_Count","Rating"
"1"," +10Wrangler AuthenticsMen's Classic Cargo Stretch Short  4.5 out of 5 stars 42,544  300+ bought in past month$26.85$26.85 FREE delivery Thu, Feb 15 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You Buy","26.","42,544","4.5 out of 5 stars"
"2"," +17Amazon EssentialsMen's Classic-Fit 9"" Short  4.4 out of 5 stars 41,725  200+ bought in past monthLimited time deal   $19.90$19.90 List: $24.90$24.90 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You BuyAmazon brand","19.","41,725","4.4 out of 5 stars"
"3"," +3NauticaMen's Classic Fit Flat Front Stretch Solid Chino 8.5"" Deck Shorts  4.5 out of 5 stars 3,822  200+ bought in past month$41.65$41.65 List: $59.50$59.50 FREE delivery Wed, Feb 14 Or fastest delivery Mon, Feb 12 Prime Try Before You Buy","41.","3,822","4.5 out of 5 stars"
"4"," +10UNIONBAYMen's Survivor Belted Cargo Short-Reg and Big & Tall Sizes  4.5 out of 5 stars 27,634  100+ bought in past month$32.95$32.95 List: $46.00$46.00 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You Buy","32.","27,634","4.5 out of 5 stars"
"5"," +4Amazon EssentialsMen's Classic-Fit Stretch Golf Short (Available in Big & Tall)  4.4 out of 5 stars 18,634  100+ bought in past monthLimited time deal   $15.10$15.10 List: $27.90$27.90 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You BuyClimate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) OEKO-TEX STANDARD 100Amazon brand","15.","18,634","4.4 out of 5 stars"
"6"," +11Amazon EssentialsMen's Slim-Fit 9"" Short  4.4 out of 5 stars 22,363  200+ bought in past month$16.90$16.90 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You BuyClimate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) OEKO-TEX STANDARD 100Amazon brand","16.","22,363","4.4 out of 5 stars"
"7"," +4VolcomMen's Vmonty Stretch Chino Short  4.6 out of 5 stars 12,115  200+ bought in past month$29.60$29.60 List: $50.00$50.00 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You BuyMore Buying Choices$29.00(3 new offers)","29.","12,115","4.6 out of 5 stars"
"8"," +9Amazon EssentialsMen's Classic-Fit Cargo Short (Available in Big & Tall)  4.4 out of 5 stars 43,041  100+ bought in past monthLimited time deal   $19.90$19.90 Typical: $23.70$23.70 FREE delivery Thu, Feb 15 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You BuyClimate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) OEKO-TEX STANDARD 100Amazon brand","19.","43,041","4.4 out of 5 stars"
"9"," +17JMIERRMen's Casual Shorts - Cotton Drawstring Summer Beach Stretch Twill Chino Golf Shorts  4.3 out of 5 stars 2,846  200+ bought in past month$25.99$25.99 List: $27.99$27.9925% coupon applied at checkoutSave 25%  with coupon (some sizes/colors)  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","25.","2,846","4.3 out of 5 stars"
"10"," +16DockersMen's Perfect Classic Fit Shorts (Regular and Big & Tall)  4.5 out of 5 stars 43,855  200+ bought in past month$13.83$13.83 List: $27.99$27.99 FREE delivery Thu, Feb 15 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You Buy","13.","43,855","4.5 out of 5 stars"
"11"," +18Amazon EssentialsMen's Drawstring Walk Short (Available in Plus Size)  4.4 out of 5 stars 16,972  100+ bought in past month$23.80$23.80 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You BuyClimate Pledge Friendly  Climate Pledge FriendlyProducts with trusted sustainability certification(s). Learn more Product Certification (1) OEKO-TEX STANDARD 100Amazon brand","23.","16,972","4.4 out of 5 stars"
"12"," +4 colors/patternsHurleyMen's H2o-dri Breathe 21"" Walkshort  4.6 out of 5 stars 520  100+ bought in past month$38.50$38.50 List: $55.00$55.00 FREE delivery Thu, Feb 15 Or fastest delivery Tue, Feb 13 Prime Try Before You Buy","38.","520","4.6 out of 5 stars"
"13"," +6QPNGRPMen's Stretch Waist Casual Shorts with 5 Pockets Include 1 Zipper Pocket  4.3 out of 5 stars 303  100+ bought in past month$24.99$24.9920% coupon applied at checkoutSave 20%  with coupon (some sizes/colors)  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","24.","303","4.3 out of 5 stars"
"14"," +12LeeMen's Extreme Motion Crossroad Cargo Short  4.6 out of 5 stars 11,211  100+ bought in past month$32.11$32.11 List: $34.90$34.90 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You BuyMore Buying Choices$26.18(5 new offers)","32.","11,211","4.6 out of 5 stars"
"15"," +4BillabongMen's Classic 4-Way Stretch Quick Dry Hybrid Short, 21 Inch Outseam  4.6 out of 5 stars 1,563  50+ bought in past month$58.94$58.94 FREE delivery Thu, Feb 15 Prime Try Before You Buy","58.","1,563","4.6 out of 5 stars"
"16"," +2Wrangler AuthenticsMen's Performance Comfort Flex Cargo Short  4.6 out of 5 stars 13,491  100+ bought in past month$27.71$27.71 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 Prime Try Before You Buy","27.","13,491","4.6 out of 5 stars"
"17"," +2Fruit of the LoomMen's Eversoft Cotton Shorts with Pockets (S-4XL)  4.5 out of 5 stars 4,801  100+ bought in past month$19.74$19.74 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You Buy","19.","4,801","4.5 out of 5 stars"
"18"," +24COOFANDYMen's Linen Shorts Casual Elastic Waist Drawstring Summer Beach Shorts  4.3 out of 5 stars 1,713  200+ bought in past monthLimited time deal   $17.41$17.41 List: $25.99$25.995% coupon applied at checkoutSave 5%  with coupon (some sizes/colors)  FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Mon, Feb 12 ","17.","1,713","4.3 out of 5 stars"
"19"," +16JMIERRMens Casual Twill Cargo Shorts Cotton Drawstring Classic Cargo Stretch Short with 6 Pockets  4.4 out of 5 stars 1,924  100+ bought in past monthLimited time deal   $23.78$23.78 List: $30.99$30.9915% coupon applied at checkoutSave 15%  with coupon (some sizes/colors) FREE delivery on $35 shipped by Amazon.","23.","1,924","4.4 out of 5 stars"
"20"," +10HanesMen's 2-Pack Cotton Knit Shorts Waistband & Pockets, Assorted Colors and Sizes  4.5 out of 5 stars 23,655  100+ bought in past month$19.98$19.98 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 ","19.","23,655","4.5 out of 5 stars"
"21"," +4Wrangler AuthenticsMen's Premium Twill Cargo Short  4.5 out of 5 stars 57,201  100+ bought in past monthLimited time deal   $22.30$22.30 List: $26.28$26.28 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You Buy","22.","57,201","4.5 out of 5 stars"
"22"," SavaneMen's 8” Stretch Hiking Cargo Shorts With Comfort Waistband, Sun Protection, Lightweight  4.6 out of 5 stars 3,195  50+ bought in past month$24.67$24.67 List: $29.99$29.99 FREE delivery Wed, Feb 14 on $35 of items shipped by AmazonOr fastest delivery Tue, Feb 13 Prime Try Before You Buy","24.","3,195","4.6 out of 5 stars"
